frame,object_id,class,x,y,width,height,center_x,center_y,area
749,1500,person,479.06,195.14,24.54,75.36,479.06,195.14,1848.99
750,1387,person,691.28,363.98,95.14,240.68,691.28,363.98,22897.2
751,1387,person,702.19,365.63,100.39,245.5,702.19,365.63,24646.56
752,1387,person,706.35,366.35,104.28,247.51,706.35,366.35,25809.62
753,1387,person,703.33,366.48,105.88,247.04,703.33,366.48,26155.2
754,1387,person,709.53,365.75,110.39,247.44,709.53,365.75,27315.3
755,1387,person,711.76,363.43,114.5,247.59,711.76,363.43,28350.0
756,1387,person,712.11,360.9,118.85,249.23,712.11,360.9,29622.42
757,1387,person,712.04,359.54,122.59,250.07,712.04,359.54,30655.59
758,1387,person,716.24,357.52,124.28,248.82,716.24,357.52,30924.23
759,1387,person,721.98,356.65,127.64,250.27,721.98,356.65,31943.11
760,1387,person,731.76,353.04,129.75,249.85,731.76,353.04,32417.09
761,1387,person,741.8,353.05,130.74,253.42,741.8,353.05,33132.52
